time	x_norm	y_norm
0.000	0.548	-0.008
0.032	0.550	-0.009
0.068	0.552	-0.004
0.100	0.555	-0.006
0.132	0.553	-0.006
0.168	0.554	-0.006
0.200	0.553	-0.005
0.232	0.597	-0.009
0.268	0.600	-0.017
0.300	0.601	-0.018
0.332	0.602	-0.016
0.368	0.603	-0.014
0.400	0.618	0.036
0.568	0.474	0.535
0.600	0.469	0.536
0.632	0.463	0.535
0.668	0.457	0.532
0.700	0.427	0.548
0.732	0.362	0.580
0.768	0.359	0.579
0.800	0.359	0.577
0.832	0.359	0.576
0.868	0.361	0.569
0.900	0.358	0.573
0.932	0.356	0.569
0.968	0.336	0.565
1.032	0.331	0.566
1.068	0.331	0.569
1.100	0.335	0.564
1.132	0.333	0.562
1.168	0.331	0.561
1.200	0.333	0.558
1.232	0.333	0.558
1.268	0.334	0.557
1.300	0.335	0.553
1.332	0.336	0.556
1.368	0.336	0.553
1.400	0.317	0.607
1.432	0.292	0.623
1.500	0.291	0.628
1.532	0.291	0.629
1.568	0.293	0.627
1.600	0.352	0.551
1.668	0.353	0.554
1.700	0.351	0.555
1.732	0.354	0.555
1.768	0.353	0.561
1.800	0.354	0.560
1.832	0.353	0.562
1.868	0.353	0.557
1.900	0.355	0.557
1.932	0.356	0.557
1.968	0.360	0.553
2.000	0.362	0.553
2.032	0.364	0.549
2.068	0.362	0.548
2.100	0.363	0.543
2.132	0.362	0.546
2.168	0.363	0.542
2.200	0.435	0.122
2.232	0.464	0.009
2.268	0.465	0.013
2.300	0.468	0.013
2.332	0.469	0.016
2.368	0.465	0.005
2.400	0.442	-0.048
2.432	0.442	-0.055
2.468	0.443	-0.054
2.500	0.444	-0.055
2.532	0.446	-0.054
2.568	0.444	0.195
2.600	0.449	0.429
2.632	0.451	0.438
2.668	0.451	0.445
2.700	0.449	0.452
2.732	0.450	0.464
2.768	0.466	0.516
2.800	0.468	0.518
2.832	0.468	0.522
2.868	0.470	0.518
2.900	0.472	0.520
2.932	0.472	0.517
2.968	0.472	0.514
3.000	0.472	0.515
3.032	0.473	0.512
3.068	0.472	0.509
3.100	0.474	0.509
3.132	0.474	0.507
3.168	0.477	0.509
3.200	0.479	0.503
3.232	0.479	0.504
3.268	0.479	0.500
3.300	0.481	0.498
3.332	0.480	0.498
3.368	0.482	0.496
3.400	0.398	0.506
3.432	0.397	0.496
